"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W09";"CH033";"Y0T4";"F";"P";1
"2021-W09";"CH033";"Y45T49";"T";"P";2
"2021-W09";"CH033";"Y45T49";"M";"P";2
"2021-W09";"CH033";"Y50T54";"T";"P";3
"2021-W09";"CH033";"Y50T54";"F";"P";1
"2021-W09";"CH033";"Y50T54";"M";"P";2
"2021-W09";"CH033";"Y55T59";"T";"P";5
"2021-W09";"CH033";"Y55T59";"F";"P";2
"2021-W09";"CH033";"Y55T59";"M";"P";3
"2021-W09";"CH033";"Y60T64";"T";"P";4
"2021-W09";"CH033";"Y60T64";"M";"P";4
"2021-W09";"CH033";"Y65T69";"T";"P";6
"2021-W09";"CH033";"Y65T69";"F";"P";1
"2021-W09";"CH033";"Y65T69";"M";"P";5
"2021-W09";"CH033";"Y70T74";"T";"P";8
"2021-W09";"CH033";"Y70T74";"F";"P";5
"2021-W09";"CH033";"Y70T74";"M";"P";3
"2021-W09";"CH033";"Y75T79";"T";"P";13
"2021-W09";"CH033";"Y75T79";"F";"P";6
"2021-W09";"CH033";"Y75T79";"M";"P";7
"2021-W09";"CH033";"Y80T84";"T";"P";10
"2021-W09";"CH033";"Y80T84";"F";"P";6
"2021-W09";"CH033";"Y80T84";"M";"P";4
"2021-W09";"CH033";"Y85T89";"T";"P";26
"2021-W09";"CH033";"Y85T89";"F";"P";14
"2021-W09";"CH033";"Y85T89";"M";"P";12
"2021-W09";"CH033";"Y_GE90";"T";"P";21
"2021-W09";"CH033";"Y_GE90";"F";"P";15
"2021-W09";"CH033";"Y_GE90";"M";"P";6
"2021-W09";"CH040";"_T";"T";"P";197
"2021-W09";"CH040";"_T";"F";"P";104
"2021-W09";"CH040";"_T";"M";"P";93
"2021-W09";"CH040";"Y0T4";"T";"P";2
"2021-W09";"CH040";"Y0T4";"F";"P";1
"2021-W09";"CH040";"Y0T4";"M";"P";1
"2021-W09";"CH040";"Y5T9";"T";"P";1
"2021-W09";"CH040";"Y5T9";"M";"P";1
