TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2020-W01;CH031;Y60T64;M;P;3
2020-W01;CH031;Y65T69;T;P;1
2020-W01;CH031;Y65T69;F;P;1
2020-W01;CH031;Y70T74;T;P;3
2020-W01;CH031;Y70T74;M;P;3
2020-W01;CH031;Y75T79;T;P;5
2020-W01;CH031;Y75T79;F;P;1
2020-W01;CH031;Y75T79;M;P;4
2020-W01;CH031;Y80T84;T;P;3
2020-W01;CH031;Y80T84;F;P;2
2020-W01;CH031;Y80T84;M;P;1
2020-W01;CH031;Y85T89;T;P;11
2020-W01;CH031;Y85T89;F;P;5
2020-W01;CH031;Y85T89;M;P;6
2020-W01;CH031;Y_GE90;T;P;17
2020-W01;CH031;Y_GE90;F;P;12
2020-W01;CH031;Y_GE90;M;P;5
2020-W01;CH032;_T;T;P;44
2020-W01;CH032;_T;F;P;29
2020-W01;CH032;_T;M;P;15
2020-W01;CH032;Y50T54;T;P;2
2020-W01;CH032;Y50T54;F;P;1
2020-W01;CH032;Y50T54;M;P;1
2020-W01;CH032;Y60T64;T;P;1
2020-W01;CH032;Y60T64;M;P;1
2020-W01;CH032;Y65T69;T;P;2
2020-W01;CH032;Y65T69;F;P;1
2020-W01;CH032;Y65T69;M;P;1
2020-W01;CH032;Y70T74;T;P;3
2020-W01;CH032;Y70T74;F;P;2
2020-W01;CH032;Y70T74;M;P;1
2020-W01;CH032;Y75T79;T;P;7
2020-W01;CH032;Y75T79;F;P;6
2020-W01;CH032;Y75T79;M;P;1
2020-W01;CH032;Y80T84;T;P;2
2020-W01;CH032;Y80T84;F;P;1
2020-W01;CH032;Y80T84;M;P;1
2020-W01;CH032;Y85T89;T;P;14
2020-W01;CH032;Y85T89;F;P;11
2020-W01;CH032;Y85T89;M;P;3
2020-W01;CH032;Y_GE90;T;P;13
2020-W01;CH032;Y_GE90;F;P;7
2020-W01;CH032;Y_GE90;M;P;6
2020-W01;CH033;_T;T;P;108
2020-W01;CH033;_T;F;P;48
2020-W01;CH033;_T;M;P;60
2020-W01;CH033;Y25T29;T;P;1
2020-W01;CH033;Y25T29;M;P;1
2020-W01;CH033;Y35T39;T;P;2
2020-W01;CH033;Y35T39;M;P;2
2020-W01;CH033;Y40T44;T;P;2
2020-W01;CH033;Y40T44;F;P;1
2020-W01;CH033;Y40T44;M;P;1
2020-W01;CH033;Y50T54;T;P;4
2020-W01;CH033;Y50T54;F;P;1
2020-W01;CH033;Y50T54;M;P;3
2020-W01;CH033;Y55T59;T;P;3
2020-W01;CH033;Y55T59;F;P;1
2020-W01;CH033;Y55T59;M;P;2
2020-W01;CH033;Y60T64;T;P;2
2020-W01;CH033;Y60T64;F;P;1
2020-W01;CH033;Y60T64;M;P;1
2020-W01;CH033;Y65T69;T;P;6
2020-W01;CH033;Y65T69;F;P;2
2020-W01;CH033;Y65T69;M;P;4
2020-W01;CH033;Y70T74;T;P;11
2020-W01;CH033;Y70T74;F;P;5
2020-W01;CH033;Y70T74;M;P;6
2020-W01;CH033;Y75T79;T;P;20
