"sex","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"male","CH",202108,31,5001,0.554,55.4,4268863,0.73,117.15,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"male","CH",202109,28,5029,0.528,52.8,4268863,0.66,117.81,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"male","CH",202110,40,5069,0.615,61.5,4268863,0.94,118.74,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"male","CH",202111,30,5099,0.545,54.5,4268863,0.7,119.45,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"male","CH",202112,4,5103,0.364,36.4,4268863,0.09,119.54,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"female","CH",202009,0,0,NA,NA,4337170,0,0,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202010,1,1,0.333,33.3,4337170,0.02,0.02,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202011,10,11,0.4,40,4337170,0.23,0.25,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202012,40,51,0.404,40.4,4337170,0.92,1.18,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202013,85,136,0.335,33.5,4337170,1.96,3.14,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202014,149,285,0.391,39.1,4337170,3.44,6.57,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202015,160,445,0.466,46.6,4337170,3.69,10.26,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202016,117,562,0.488,48.8,4337170,2.7,12.96,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202017,97,659,0.5,50,4337170,2.24,15.19,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202018,39,698,0.438,43.8,4337170,0.9,16.09,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202019,22,720,0.407,40.7,4337170,0.51,16.6,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202020,6,726,0.353,35.3,4337170,0.14,16.74,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202021,6,732,0.429,42.9,4337170,0.14,16.88,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202022,2,734,0.5,50,4337170,0.05,16.92,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202023,0,734,0,0,4337170,0,16.92,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"female","CH",202024,1,735,0.25,25,4337170,0.02,16.95,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202025,2,737,1,100,4337170,0.05,16.99,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202026,0,737,0,0,4337170,0,16.99,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202027,1,738,0.5,50,4337170,0.02,17.02,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202028,1,739,0.5,50,4337170,0.02,17.04,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202029,0,739,0,0,4337170,0,17.04,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202030,1,740,0.2,20,4337170,0.02,17.06,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"female","CH",202031,1,741,0.2,20,4337170,0.02,17.08,"COVID19Death","sex","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
