"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"0 - 9","CH",202022,1,27,0.053,5.3,873043,0.11,3.09,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202023,0,27,0,0,873043,0,3.09,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"0 - 9","CH",202024,0,27,0,0,873043,0,3.09,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202025,0,27,0,0,873043,0,3.09,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202026,1,28,0.059,5.9,873043,0.11,3.21,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202027,0,28,0,0,873043,0,3.21,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202028,1,29,0.019,1.9,873043,0.11,3.32,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202029,0,29,0,0,873043,0,3.32,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202030,0,29,0,0,873043,0,3.32,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202031,1,30,0.016,1.6,873043,0.11,3.44,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202032,1,31,0.02,2,873043,0.11,3.55,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202033,3,34,0.057,5.7,873043,0.34,3.89,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202034,2,36,0.039,3.9,873043,0.23,4.12,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202035,0,36,0,0,873043,0,4.12,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202036,0,36,0,0,873043,0,4.12,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202037,0,36,0,0,873043,0,4.12,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202038,2,38,0.019,1.9,873043,0.23,4.35,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202039,1,39,0.009,0.9,873043,0.11,4.47,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"0 - 9","CH",202040,1,40,0.006,0.6,873043,0.11,4.58,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202041,0,40,0,0,873043,0,4.58,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202042,6,46,0.01,1,873043,0.69,5.27,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202043,6,52,0.005,0.5,873043,0.69,5.96,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202044,12,64,0.008,0.8,873043,1.37,7.33,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202045,14,78,0.009,0.9,873043,1.6,8.93,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202046,11,89,0.008,0.8,873043,1.26,10.19,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202047,14,103,0.011,1.1,873043,1.6,11.8,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202048,12,115,0.01,1,873043,1.37,13.17,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202049,11,126,0.01,1,873043,1.26,14.43,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202050,11,137,0.009,0.9,873043,1.26,15.69,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202051,16,153,0.014,1.4,873043,1.83,17.52,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202052,12,165,0.011,1.1,873043,1.37,18.9,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202053,9,174,0.008,0.8,873043,1.03,19.93,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202101,14,188,0.015,1.5,873043,1.6,21.53,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202102,9,197,0.014,1.4,873043,1.03,22.56,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202103,8,205,0.015,1.5,873043,0.92,23.48,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202104,11,216,0.025,2.5,873043,1.26,24.74,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202105,4,220,0.01,1,873043,0.46,25.2,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202106,4,224,0.013,1.3,873043,0.46,25.66,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202107,3,227,0.01,1,873043,0.34,26,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"0 - 9","CH",202108,4,231,0.015,1.5,873043,0.46,26.46,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"0 - 9","CH",202109,2,233,0.006,0.6,873043,0.23,26.69,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"0 - 9","CH",202110,7,240,0.023,2.3,873043,0.8,27.49,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"0 - 9","CH",202111,9,249,0.031,3.1,873043,1.03,28.52,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"0 - 9","CH",202112,0,249,0,0,873043,0,28.52,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202009,0,0,0,0,844155,0,0,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202010,1,1,0.009,0.9,844155,0.12,0.12,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202011,2,3,0.006,0.6,844155,0.24,0.36,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202012,5,8,0.006,0.6,844155,0.59,0.95,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202013,10,18,0.009,0.9,844155,1.18,2.13,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202014,6,24,0.009,0.9,844155,0.71,2.84,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202015,4,28,0.011,1.1,844155,0.47,3.32,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202016,2,30,0.009,0.9,844155,0.24,3.55,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202017,3,33,0.028,2.8,844155,0.36,3.91,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202018,0,33,0,0,844155,0,3.91,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202019,2,35,0.065,6.5,844155,0.24,4.15,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202020,0,35,0,0,844155,0,4.15,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202021,3,38,0.2,20,844155,0.36,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202022,0,38,0,0,844155,0,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202023,0,38,0,0,844155,0,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202024,0,38,0,0,844155,0,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202025,0,38,0,0,844155,0,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202026,0,38,0,0,844155,0,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202027,0,38,0,0,844155,0,4.5,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202028,1,39,0.019,1.9,844155,0.12,4.62,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202029,1,40,0.029,2.9,844155,0.12,4.74,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202030,1,41,0.017,1.7,844155,0.12,4.86,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202031,3,44,0.048,4.8,844155,0.36,5.21,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202032,1,45,0.02,2,844155,0.12,5.33,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202033,0,45,0,0,844155,0,5.33,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202034,1,46,0.02,2,844155,0.12,5.45,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202035,1,47,0.023,2.3,844155,0.12,5.57,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202036,0,47,0,0,844155,0,5.57,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202037,1,48,0.01,1,844155,0.12,5.69,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202038,1,49,0.01,1,844155,0.12,5.8,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202039,0,49,0,0,844155,0,5.8,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202040,1,50,0.006,0.6,844155,0.12,5.92,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202041,5,55,0.018,1.8,844155,0.59,6.52,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202042,3,58,0.005,0.5,844155,0.36,6.87,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202043,7,65,0.006,0.6,844155,0.83,7.7,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202044,7,72,0.004,0.4,844155,0.83,8.53,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202045,4,76,0.002,0.2,844155,0.47,9,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202046,5,81,0.003,0.3,844155,0.59,9.6,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202047,2,83,0.002,0.2,844155,0.24,9.83,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202048,2,85,0.002,0.2,844155,0.24,10.07,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202049,2,87,0.002,0.2,844155,0.24,10.31,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202050,7,94,0.006,0.6,844155,0.83,11.14,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202051,4,98,0.004,0.4,844155,0.47,11.61,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202052,2,100,0.002,0.2,844155,0.24,11.85,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202053,4,104,0.004,0.4,844155,0.47,12.32,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202101,5,109,0.005,0.5,844155,0.59,12.91,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202102,4,113,0.006,0.6,844155,0.47,13.39,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202103,3,116,0.006,0.6,844155,0.36,13.74,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202104,2,118,0.005,0.5,844155,0.24,13.98,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202105,3,121,0.008,0.8,844155,0.36,14.33,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202106,2,123,0.007,0.7,844155,0.24,14.57,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202107,4,127,0.014,1.4,844155,0.47,15.04,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202108,3,130,0.011,1.1,844155,0.36,15.4,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202109,2,132,0.006,0.6,844155,0.24,15.64,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202110,0,132,0,0,844155,0,15.64,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202111,2,134,0.007,0.7,844155,0.24,15.87,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202112,1,135,0.021,2.1,844155,0.12,15.99,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202009,6,6,0.115,11.5,1045350,0.57,0.57,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202010,5,11,0.045,4.5,1045350,0.48,1.05,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202011,13,24,0.037,3.7,1045350,1.24,2.3,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202012,18,42,0.022,2.2,1045350,1.72,4.02,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202013,23,65,0.02,2,1045350,2.2,6.22,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202014,12,77,0.018,1.8,1045350,1.15,7.37,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202015,19,96,0.052,5.2,1045350,1.82,9.18,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202016,9,105,0.041,4.1,1045350,0.86,10.04,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202017,3,108,0.028,2.8,1045350,0.29,10.33,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202018,3,111,0.047,4.7,1045350,0.29,10.62,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202019,0,111,0,0,1045350,0,10.62,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202020,1,112,0.04,4,1045350,0.1,10.71,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202021,0,112,0,0,1045350,0,10.71,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202022,3,115,0.158,15.8,1045350,0.29,11,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202023,0,115,0,0,1045350,0,11,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"20 - 29","CH",202024,0,115,0,0,1045350,0,11,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202025,2,117,0.118,11.8,1045350,0.19,11.19,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202026,3,120,0.176,17.6,1045350,0.29,11.48,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202027,8,128,0.211,21.1,1045350,0.77,12.24,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"20 - 29","CH",202028,1,129,0.019,1.9,1045350,0.1,12.34,"COVID19Hosp","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
