"geoRegion","geoLevel","quarantineStart","quarantineEnd","type","version"
"HU","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ID","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"IE","ISO2",2021-01-12,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"IL","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"IM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"IN","ISO2",2020-08-20,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"IO","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"IQ","ISO2",2020-07-06,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"IR","ISO2",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"IS","ISO2",2020-09-28,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"ITC1","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITC2","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITC3","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITC4","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITF1","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITF2","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITF3","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITF4","NUTS-2",2021-02-22,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"ITF5","NUTS-2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITF6","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITG1","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITG2","NUTS-2",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"ITH1","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITH2","NUTS-2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITH3","NUTS-2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITH4","NUTS-2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITH5","NUTS-2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITI1","NUTS-2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITI2","NUTS-2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITI3","NUTS-2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ITI4","NUTS-2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"JE","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"JM","ISO2",2021-04-05,NA,"COVID19IntQua","2021-03-24_00-00-00"
"JO","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"JP","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KE","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KG","ISO2",2020-07-23,2020-09-07,"COVID19IntQua","2021-03-24_00-00-00"
"KH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KP","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KR","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KW","ISO2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KY","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"KZ","ISO2",2020-07-23,2020-09-07,"COVID19IntQua","2021-03-24_00-00-00"
"LA","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LB","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LC","ISO2",2021-02-22,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"LI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LK","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LR","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LS","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LT","ISO2",2020-12-14,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"LU","ISO2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LV","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"LY","ISO2",2020-09-07,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"MA","ISO2",2020-09-28,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"MC","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MD","ISO2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ME","ISO2",2020-11-23,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MK","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"ML","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MO","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MP","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MQ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MR","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MS","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MT","ISO2",2021-02-01,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MU","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MV","ISO2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MX","ISO2",2020-07-23,2020-09-07,"COVID19IntQua","2021-03-24_00-00-00"
"MY","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"MZ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
NA,"ISO2",2020-08-20,2020-10-12,"COVID19IntQua","2021-03-24_00-00-00"
"NC","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NE","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NF","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NI","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NL","ISO2",2021-01-15,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NO","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NP","ISO2",2020-09-28,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"NR","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NU","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"NZ","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"OM","ISO2",2020-09-28,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"PA","ISO2",2021-01-15,2021-02-25,"COVID19IntQua","2021-03-24_00-00-00"
"PE","ISO2",2021-03-08,NA,"COVID19IntQua","2021-03-24_00-00-00"
