"date","geoRegion","ICU_AllPatients","ICU_Covid19Patients","ICU_Capacity","Total_AllPatients","Total_Covid19Patients","Total_Capacity","ICU_NonCovid19Patients","ICU_FreeCapacity","Total_NonCovid19Patients","Total_FreeCapacity","timeframe_14d","timeframe_28d","timeframe_phase2","timeframe_phase2b","timeframe_all","Total_Capacity_mean15d","Total_AllPatients_mean15d","Total_Covid19Patients_mean15d","Total_NonCovid19Patients_mean15d","Total_FreeCapacity_mean15d","ICU_Capacity_mean15d","ICU_AllPatients_mean15d","ICU_Covid19Patients_mean15d","ICU_NonCovid19Patients_mean15d","ICU_FreeCapacity_mean15d","type_variant","ICUPercent_AllPatients","ICUPercent_NonCovid19Patients","ICUPercent_Covid19Patients","ICUPercent_FreeCapacity","ICUPercent_Capacity","TotalPercent_AllPatients","TotalPercent_NonCovid19Patients","TotalPercent_Covid19Patients","TotalPercent_FreeCapacity","TotalPercent_Capacity","type","version"
2020-10-15,"AI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"AR",0,0,0,40,0,51,0,0,40,11,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",NA,NA,NA,NA,NA,78.4,78.4,0,21.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"BE",71,4,93,1984,39,2780,67,22,1945,796,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",76.3,72,4.3,23.7,100,71.4,70,1.4,28.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"BL",6,0,16,580,4,659,6,10,576,79,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",37.5,37.5,0,62.5,100,88,87.4,0.6,12,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"BS",39,3,50,696,9,1165,36,11,687,469,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",78,72,6,22,100,59.7,59,0.8,40.3,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"FR",21,3,24,486,24,521,18,3,462,35,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",87.5,75,12.5,12.5,100,93.3,88.7,4.6,6.7,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"GE",34,5,40,81,14,2656,29,6,67,2575,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",85,72.5,12.5,15,100,3,2.5,0.5,97,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"GL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"GR",10,3,16,423,9,625,7,6,414,202,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",62.5,43.8,18.8,37.5,100,67.7,66.2,1.4,32.3,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"JU",4,2,6,266,10,323,2,2,256,57,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",66.7,33.3,33.3,33.3,100,82.4,79.3,3.1,17.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
