"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202103,"GR","0 - 9",0,"altersklasse_covid19",17435,1,0,0,0.01,0.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202104,"GR","0 - 9",0,"altersklasse_covid19",17435,1,0,0,0.01,0.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202105,"GR","0 - 9",1,"altersklasse_covid19",17435,2,0.01,0,0.01,0.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202106,"GR","0 - 9",0,"altersklasse_covid19",17435,2,0,0,0.01,0.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202107,"GR","0 - 9",0,"altersklasse_covid19",17435,2,0,0,0.01,0.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202108,"GR","0 - 9",0,"altersklasse_covid19",17435,2,0,0,0.01,0.14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202109,"GR","0 - 9",0,"altersklasse_covid19",17435,2,0,NA,0.01,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202110,"GR","0 - 9",0,"altersklasse_covid19",17435,2,0,NA,0.01,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202111,"GR","0 - 9",0,"altersklasse_covid19",17435,2,0,NA,0.01,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0,0
202052,"GR","10 - 19",0,"altersklasse_covid19",17946,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","10 - 19",0,"altersklasse_covid19",17946,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","10 - 19",6,"altersklasse_covid19",17946,6,0.03,NA,0.03,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.009,0.9
202102,"GR","10 - 19",12,"altersklasse_covid19",17946,18,0.07,0.05,0.1,9.57,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.006,0.6
202103,"GR","10 - 19",21,"altersklasse_covid19",17946,39,0.12,0.08,0.22,14,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.012,1.2
202104,"GR","10 - 19",10,"altersklasse_covid19",17946,49,0.06,0.09,0.27,16,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.003,0.3
202105,"GR","10 - 19",18,"altersklasse_covid19",17946,67,0.1,0.1,0.37,17.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.008,0.8
202106,"GR","10 - 19",31,"altersklasse_covid19",17946,98,0.17,0.1,0.55,17.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.008,0.8
202107,"GR","10 - 19",14,"altersklasse_covid19",17946,112,0.08,0.09,0.62,16.86,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.005,0.5
202108,"GR","10 - 19",15,"altersklasse_covid19",17946,127,0.08,0.09,0.71,17,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.004,0.4
202109,"GR","10 - 19",12,"altersklasse_covid19",17946,139,0.07,NA,0.77,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.003,0.3
202110,"GR","10 - 19",18,"altersklasse_covid19",17946,157,0.1,NA,0.87,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.004,0.4
202111,"GR","10 - 19",11,"altersklasse_covid19",17946,168,0.06,NA,0.94,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.004,0.4
