Provincias;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM25;8
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM24;10
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM23;4
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM22;10
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM21;4
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM20;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM19;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM18;7
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM17;3
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM16;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM15;4
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM14;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM13;8
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM12;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM11;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM10;6
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM09;9
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM08;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM07;9
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM06;4
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM05;10
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM04;5
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM03;11
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM02;11
Total Nacional;Total;De 15 a 19 años  ;Dato base;2020SM01;3
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM53;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM52;12
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM51;8
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM50;10
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM49;13
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM48;16
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM47;12
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM46;16
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM45;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM44;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM43;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM42;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM41;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM40;14
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM39;14
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM38;5
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM37;15
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM36;12
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM35;22
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM34;15
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM33;8
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM32;10
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM31;17
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM30;10
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM29;14
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM28;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM27;15
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM26;7
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM25;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM24;8
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM23;4
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM22;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM21;7
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM20;5
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM19;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM18;5
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM17;7
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM16;12
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM15;4
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM14;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM13;7
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM12;8
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM11;11
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM10;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM09;13
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM08;7
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM07;16
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM06;7
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM05;21
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM04;14
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM03;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM02;9
Total Nacional;Total;De 20 a 24 años;Dato base;2020SM01;11
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM53;11
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM52;19
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM51;15
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM50;18
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM49;14
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM48;8
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM47;17
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM46;9
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM45;8
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM44;16
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM43;11
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM42;7
